eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
r,a,lectus in est,curae nulla dapibus dolor vel est donec,r,ac diam cras,m,822.15,6.97,405.69,eget rutrum at lorem,0.73,106.78,486.64,515.43,nulla,nulla ut erat id,3.29,s,nam dui,nullam sit,semper est quam pharetra magna ac consequat,o,vitae ipsum,kg,325.45,48.67,463.06,rs,ro
s,semper,faucibus orci luctus,est lacinia nisi venenatis tristique fusce congue,s,enim lorem ipsum,%,421.21,70.35,808.97,nisl nunc nisl,9.04,491.09,234.3,182.53,sapien non,feugiat et eros,6.93,p,eu,aenean sit amet,in eleifend quam a odio in hac,o,id sapien in,m,561.22,939.62,980.11,sp,so
i,cras mi,magna bibendum imperdiet,ut blandit non interdum in,i,mauris vulputate elementum,m,569.79,627.11,418.93,tortor sollicitudin mi,4.67,154.7,75.53,817.71,accumsan tellus,mauris vulputate elementum nullam,3.41,r,vestibulum,nulla neque,eget eleifend luctus ultricies eu nibh quisque,s,varius nulla,m,189.39,248.93,554.78,ir,is
s,platea dictumst,eget elit,etiam pretium iaculis justo in,p,nunc nisl duis,m,821.94,299.51,707.69,condimentum curabitur in libero,7.07,372.52,338.78,26.22,pellentesque,dapibus augue vel accumsan,2.76,r,elementum,curabitur convallis,scelerisque mauris sit amet eros suspendisse accumsan,s,augue aliquam erat,%,425.91,935.06,703.98,sr,ps
s,sit,pretium iaculis,volutpat eleifend donec ut dolor,i,purus eu,%,894.61,251.51,453.61,a pede posuere,1.56,447.4,176.07,741.22,mauris,erat quisque erat,8.23,r,lectus,elementum in hac,ipsum dolor sit amet consectetuer adipiscing elit,s,imperdiet sapien,kg,435.85,176.21,217.88,sr,is
r,tortor,elementum ligula,augue vel accumsan tellus nisi eu orci,i,quis orci,USD,847.24,174.26,314.74,ac tellus semper,7.28,584.79,434.04,301.96,arcu,fermentum justo,2.18,i,in felis,id massa,nunc vestibulum ante ipsum primis in faucibus,s,consectetuer adipiscing,%,90.06,879.4,40.43,ri,is
i,quis,rhoncus sed,semper porta volutpat quam pede lobortis ligula,s,pede justo lacinia,kg,473.66,347.12,636.81,libero non mattis pulvinar,0.78,921.45,416.1,829.22,libero ut,ac consequat,7.64,r,felis,nulla nisl,id mauris vulputate elementum nullam varius nulla,i,arcu adipiscing molestie,USD,396.12,529.7,240.48,ir,si
i,nibh ligula,massa volutpat convallis,erat tortor sollicitudin mi sit amet,s,vulputate ut,m,369.44,17.58,241.37,elementum pellentesque quisque,0.78,442.27,706.95,439.0,rhoncus,ac diam cras,7.72,r,nulla,est lacinia nisi,interdum eu tincidunt in leo maecenas pulvinar,s,rutrum nulla,kg,64.88,737.22,639.65,ir,ss
o,eget,metus arcu adipiscing,semper sapien a libero nam dui proin,p,nulla ac,%,76.19,637.08,16.2,consequat nulla nisl nunc,1.55,105.7,105.98,843.32,habitasse,mauris lacinia,9.78,o,neque vestibulum,blandit nam nulla,rutrum nulla tellus in sagittis dui vel,o,nulla dapibus,%,618.99,985.02,437.53,oo,po
i,ut at,sagittis dui vel,massa tempor convallis nulla neque libero convallis,o,enim sit,%,364.6,667.64,424.65,ut dolor morbi vel,0.28,757.69,503.82,242.09,eu orci,nisl duis,2.99,o,lacinia sapien,eu felis fusce,lectus in est risus auctor sed tristique,s,accumsan felis ut,%,475.03,519.0,869.34,io,os
s,adipiscing elit,eget massa tempor,vestibulum sit amet cursus id,r,posuere metus vitae,USD,184.2,350.29,388.44,praesent id massa id,1.81,876.58,935.11,32.34,eget eleifend,pretium nisl,5.28,o,quam,ac nibh,pellentesque ultrices mattis odio donec vitae nisi,o,pellentesque quisque,kg,635.06,451.28,722.22,so,ro
s,sit,et ultrices posuere,justo nec condimentum neque sapien placerat ante,r,morbi quis,kg,673.8,708.66,632.3,in purus eu,3.9,843.39,556.18,7.09,mattis,massa tempor convallis nulla,9.84,s,eleifend quam,nullam porttitor,purus eu magna vulputate luctus cum sociis,r,pulvinar sed nisl,kg,126.89,516.27,825.88,ss,rr
s,in lacus,phasellus sit amet,eleifend donec ut dolor morbi vel,p,quis justo,USD,308.0,564.32,636.67,in faucibus orci,1.62,810.9,783.03,477.84,lacinia,ut rhoncus aliquet pulvinar,7.71,o,id lobortis,odio curabitur,ridiculus mus vivamus vestibulum sagittis sapien cum,s,nec condimentum neque,m,74.18,151.15,330.44,so,ps
i,sapien,magna bibendum imperdiet,nunc purus phasellus in felis donec,o,mauris viverra,m,830.87,609.65,821.68,ut dolor morbi vel,2.91,554.35,539.51,322.02,sed,id ligula,9.02,i,sapien iaculis,nisi at nibh,dictumst aliquam augue quam sollicitudin vitae consectetuer,i,ac lobortis vel,%,422.1,335.72,44.57,ii,oi
o,vel,faucibus accumsan,vestibulum rutrum rutrum neque aenean,p,nibh in lectus,m,60.88,346.66,782.47,id massa id nisl,1.69,293.39,445.98,273.77,nisl,faucibus orci luctus,4.63,s,tortor,ut erat curabitur,morbi non quam nec dui luctus rutrum,r,vestibulum ac est,m,530.78,978.16,207.29,os,pr
i,in leo,consequat in consequat,felis sed interdum venenatis turpis enim blandit,p,odio in hac,kg,733.31,900.44,296.15,in magna bibendum,6.17,589.14,541.59,97.16,mi in,aenean auctor,2.33,o,nullam,molestie hendrerit at,nisi nam ultrices libero non mattis pulvinar,i,aliquet massa id,m,278.18,258.23,388.41,io,pi
i,ultricies,sit amet nunc,habitasse platea dictumst maecenas ut,o,felis eu,kg,950.35,133.02,425.21,potenti in eleifend quam,3.8,799.4,685.69,417.95,nibh,vel augue,9.05,p,eget nunc,id ornare,penatibus et magnis dis parturient montes nascetur,s,augue vestibulum ante,%,245.84,401.9,431.66,ip,os
o,ac,eget eros elementum,ornare imperdiet sapien urna pretium nisl ut,p,nisi venenatis tristique,USD,88.64,931.33,151.07,nunc vestibulum ante ipsum,7.97,429.18,453.49,96.45,mauris laoreet,ante vestibulum ante,7.32,o,pellentesque,leo odio condimentum,ridiculus mus vivamus vestibulum sagittis sapien cum,p,scelerisque mauris,m,908.41,827.56,76.64,oo,pp
o,eu est,vel nulla eget,placerat praesent blandit nam nulla,s,vestibulum vestibulum ante,kg,834.47,10.82,639.91,sapien urna pretium,8.38,892.93,405.78,764.12,non velit,primis in faucibus,5.05,i,metus vitae,tristique est et,commodo vulputate justo in blandit ultrices enim,p,urna pretium,m,66.66,552.18,862.48,oi,sp
i,diam in,faucibus orci luctus,a nibh in quis justo maecenas,s,proin interdum,m,512.37,236.81,625.05,interdum venenatis turpis,9.75,867.42,628.92,78.68,fusce congue,turpis adipiscing,0.7,s,eget,mauris ullamcorper,purus sit amet nulla quisque arcu libero,p,leo odio,m,277.58,672.33,477.27,is,sp
o,blandit,sapien varius ut,eros suspendisse accumsan tortor quis turpis sed,o,sed justo,USD,259.82,0.56,982.79,sollicitudin ut suscipit,2.59,613.66,587.65,585.95,nisi vulputate,sit amet,9.55,r,pretium,in hac habitasse,libero nullam sit amet turpis elementum ligula,r,sem sed,m,467.98,390.69,503.43,or,or
o,morbi vestibulum,erat volutpat,blandit ultrices enim lorem ipsum dolor,p,quam sapien,kg,884.07,757.33,471.47,eget semper rutrum,1.5,903.81,334.4,313.99,imperdiet et,est congue,6.9,p,sapien urna,vel ipsum praesent,condimentum neque sapien placerat ante nulla justo,p,sit amet,USD,372.63,924.69,798.99,op,pp
i,ipsum,condimentum curabitur in,non interdum in ante vestibulum,i,diam erat fermentum,%,472.26,123.94,748.32,bibendum morbi non,4.52,459.99,197.45,404.82,imperdiet et,consequat lectus in est,4.83,p,vivamus,in hac,non quam nec dui luctus rutrum nulla,o,nec condimentum,%,823.6,987.06,587.46,ip,io
i,neque sapien,sagittis nam congue,nunc nisl duis bibendum felis sed,r,posuere cubilia,m,418.98,542.75,240.8,sit amet eros suspendisse,2.39,999.97,920.38,248.88,ipsum,lacus at,5.89,r,eget,sapien varius ut,donec pharetra magna vestibulum aliquet ultrices erat,r,sagittis sapien cum,%,374.21,969.83,353.44,ir,rr
o,potenti,quis libero nullam,eu nibh quisque id justo sit,i,in sapien,%,652.9,38.52,779.5,est quam pharetra magna,9.45,229.09,290.94,911.19,sit,sapien ut nunc,3.05,i,bibendum,nibh ligula nec,amet lobortis sapien sapien non mi integer,r,nisl ut,m,594.34,204.88,411.91,oi,ir
p,nunc vestibulum,felis eu,posuere cubilia curae donec pharetra magna vestibulum,i,dapibus nulla suscipit,m,931.79,743.87,951.13,elit ac nulla sed,3.49,148.02,767.99,178.03,praesent,id mauris,8.24,i,odio,vitae quam,malesuada in imperdiet et commodo vulputate justo,r,augue vestibulum,USD,423.85,19.06,121.77,pi,ir
o,odio,pellentesque eget nunc,non quam nec dui luctus rutrum,r,ac enim,%,593.21,866.67,114.25,ac tellus semper interdum,0.81,950.16,481.56,364.19,nulla,mi pede malesuada in,7.59,o,vel,rutrum at,integer non velit donec diam neque vestibulum,i,leo maecenas,USD,82.07,260.6,485.67,oo,ri
s,in consequat,libero convallis eget,turpis sed ante vivamus tortor,p,in faucibus orci,USD,37.61,162.4,602.69,ut volutpat sapien arcu,1.29,879.7,557.94,426.93,orci luctus,porttitor pede justo eu,6.53,i,vitae,est donec odio,et magnis dis parturient montes nascetur ridiculus,o,neque aenean auctor,USD,261.54,63.76,577.87,si,po
p,bibendum,in magna bibendum,rhoncus aliquet pulvinar sed nisl nunc rhoncus,r,morbi non quam,kg,671.32,981.19,803.94,vivamus vestibulum sagittis,7.82,861.12,491.3,263.59,justo,diam id ornare imperdiet,8.58,s,nam,dapibus nulla suscipit,sit amet eros suspendisse accumsan tortor quis,o,condimentum curabitur in,m,235.51,189.24,934.15,ps,ro
p,consequat,vestibulum sed,massa id lobortis convallis tortor risus,r,ligula pellentesque ultrices,USD,213.06,745.24,276.81,posuere metus vitae,3.11,736.86,393.05,663.84,donec,in porttitor pede,4.71,o,dapibus nulla,velit eu est,turpis integer aliquet massa id lobortis convallis,p,id justo sit,kg,573.04,280.37,409.27,po,rp
o,erat tortor,tortor duis,diam id ornare imperdiet sapien,i,augue vestibulum ante,%,199.27,20.33,73.52,adipiscing molestie hendrerit at,0.12,985.9,686.03,763.84,nulla,vivamus vel,3.62,o,et,viverra pede ac,dignissim vestibulum vestibulum ante ipsum primis in,p,porta volutpat erat,USD,992.18,257.21,561.64,oo,ip
i,mattis nibh,ut mauris eget,nam congue risus semper porta,i,condimentum id,%,813.53,777.25,830.69,mauris enim leo,1.86,446.25,419.05,657.97,purus,amet consectetuer,6.93,p,cubilia curae,sed accumsan felis,metus aenean fermentum donec ut mauris eget,s,dictumst morbi,m,679.43,160.85,206.28,ip,is
p,interdum eu,primis in,quisque ut erat curabitur gravida,r,suspendisse potenti cras,%,312.86,54.57,642.9,ante vivamus tortor duis,9.2,364.66,748.6,296.0,ut,varius integer ac,6.93,p,quam sollicitudin,lobortis sapien,facilisi cras non velit nec nisi vulputate,r,elementum eu,USD,438.32,282.6,855.66,pp,rr
o,nullam,pulvinar lobortis,commodo placerat praesent blandit nam,s,id justo sit,m,467.0,910.7,42.08,viverra pede ac,3.79,489.48,589.95,333.32,purus sit,adipiscing elit proin,9.81,p,neque,volutpat sapien,augue vestibulum rutrum rutrum neque aenean auctor,o,cubilia curae,USD,144.23,425.4,93.56,op,so
s,integer,ante vestibulum ante,ullamcorper purus sit amet nulla,s,pellentesque ultrices phasellus,kg,767.32,220.58,940.74,non interdum in,7.56,950.32,461.0,33.63,suscipit,potenti cras,0.26,s,faucibus,nisl duis,fusce consequat nulla nisl nunc nisl duis,r,ipsum primis in,USD,877.14,97.23,265.76,ss,sr
p,quis libero,mollis molestie,vel augue vestibulum ante ipsum primis,o,at diam,m,498.71,64.05,611.57,vulputate vitae nisl,7.28,225.27,29.84,839.17,felis sed,amet lobortis sapien,0.02,i,vel pede,eget tempus vel,at vulputate vitae nisl aenean lectus pellentesque,r,lobortis est,kg,286.12,461.79,391.12,pi,or
s,volutpat,sit amet eleifend,sapien iaculis congue vivamus metus,o,tincidunt nulla mollis,%,537.87,129.44,725.94,ornare imperdiet sapien,3.7,345.82,672.92,89.07,in,ut volutpat sapien arcu,2.54,i,mauris morbi,elit sodales,pede justo eu massa donec dapibus duis,p,posuere cubilia,USD,182.26,904.62,528.59,si,op
s,amet consectetuer,justo sit,quam sollicitudin vitae consectetuer eget rutrum at,s,augue vestibulum rutrum,m,769.21,567.46,657.82,mauris sit amet,2.3,534.57,852.67,660.91,ut rhoncus,ut nulla,8.6,r,pede,ut at dolor,aliquam erat volutpat in congue etiam justo,i,id turpis integer,%,463.72,603.88,38.39,sr,si
i,rhoncus sed,libero non,tellus nisi eu orci mauris,o,libero quis orci,m,836.56,462.09,488.99,ante vestibulum ante,9.05,367.64,291.99,840.6,amet,sapien iaculis,4.65,o,turpis,bibendum felis sed,in leo maecenas pulvinar lobortis est phasellus,r,pellentesque at nulla,kg,361.1,284.85,260.48,io,or
p,sapien,purus phasellus in,lectus in quam fringilla rhoncus mauris enim,p,pretium nisl ut,kg,321.53,565.26,298.57,dolor sit amet consectetuer,4.47,673.27,62.98,960.12,ut,donec pharetra magna,9.62,p,eu felis,ultricies eu,nonummy integer non velit donec diam neque,o,sodales scelerisque mauris,kg,229.08,902.28,888.49,pp,po
p,lectus suspendisse,diam in magna,id nulla ultrices aliquet maecenas leo,i,mi nulla ac,kg,777.65,927.14,358.76,eget semper rutrum,2.82,241.28,650.73,186.16,est lacinia,cras in purus,9.87,r,vestibulum ac,montes nascetur ridiculus,et magnis dis parturient montes nascetur ridiculus,r,dictumst aliquam augue,%,496.65,869.24,453.48,pr,ir
p,augue,donec diam,integer aliquet massa id lobortis convallis tortor,p,donec posuere metus,USD,104.81,94.33,939.71,vestibulum ac est,0.3,614.42,506.38,482.51,vulputate nonummy,semper porta volutpat,5.99,r,erat fermentum,morbi vel lectus,lacinia nisi venenatis tristique fusce congue diam,r,ultrices mattis odio,m,192.16,119.69,614.75,pr,pr
r,eu,ornare imperdiet,hac habitasse platea dictumst morbi,p,cras pellentesque,%,356.43,247.09,982.54,lectus in quam fringilla,2.15,543.22,689.6,938.52,amet,ultrices erat tortor,0.39,o,duis faucibus,in tempus sit,morbi vestibulum velit id pretium iaculis diam,i,leo odio condimentum,m,809.44,315.46,111.33,ro,pi
o,mi,volutpat eleifend,et ultrices posuere cubilia curae duis faucibus,i,a feugiat et,USD,497.14,833.37,623.23,eleifend donec ut dolor,3.1,474.74,43.22,983.87,eget massa,lectus in,0.06,i,ipsum,eget congue,vestibulum ante ipsum primis in faucibus orci,s,maecenas rhoncus,kg,416.82,386.96,134.21,oi,is
p,nulla,id ornare imperdiet,mauris lacinia sapien quis libero nullam sit,i,at feugiat,m,822.94,162.18,248.43,purus sit amet nulla,0.56,547.65,800.31,31.65,bibendum,fusce lacus purus,8.44,s,luctus,felis ut at,congue etiam justo etiam pretium iaculis justo,r,turpis elementum,%,822.45,216.28,727.98,ps,ir
o,posuere,erat fermentum,habitasse platea dictumst etiam faucibus cursus urna,s,volutpat eleifend donec,kg,430.06,918.19,856.65,orci luctus et ultrices,0.15,617.02,156.94,987.71,lorem,molestie hendrerit at vulputate,3.36,p,molestie,ut rhoncus aliquet,tempus vivamus in felis eu sapien cursus,s,nulla ultrices,m,36.14,451.3,52.09,op,ss
i,accumsan,arcu libero,morbi sem mauris laoreet ut rhoncus aliquet,o,aliquam quis turpis,USD,158.15,502.06,320.9,vitae ipsum aliquam non,4.69,803.71,380.13,107.11,orci,non sodales sed tincidunt,4.09,o,diam in,augue vestibulum ante,pede justo eu massa donec dapibus duis,r,metus aenean fermentum,USD,418.92,910.08,437.04,io,or
o,duis,pellentesque eget nunc,erat id mauris vulputate elementum nullam varius,i,ut tellus nulla,m,203.89,777.85,12.73,placerat ante nulla justo,5.75,50.38,144.59,147.33,pellentesque,donec ut,3.2,p,et ultrices,nulla dapibus,vestibulum ante ipsum primis in faucibus orci,s,ipsum primis in,%,270.09,363.26,296.97,op,is
s,aliquam,magna ac,vitae mattis nibh ligula nec sem duis,i,pulvinar nulla pede,USD,284.08,165.27,271.79,imperdiet sapien urna pretium,9.39,533.9,275.2,332.0,accumsan tellus,justo pellentesque viverra,6.58,s,neque duis,risus semper porta,metus arcu adipiscing molestie hendrerit at vulputate,s,nulla justo aliquam,USD,597.7,543.44,996.1,ss,is
p,a feugiat,donec semper,semper porta volutpat quam pede lobortis,r,eget eleifend luctus,USD,121.14,301.72,562.17,dui maecenas tristique est,1.63,354.05,329.53,337.08,ipsum integer,diam cras,7.92,r,tortor,lobortis convallis,ut odio cras mi pede malesuada in,o,morbi vel,kg,433.15,314.51,501.08,pr,ro
s,consequat,pede venenatis non,imperdiet sapien urna pretium nisl ut volutpat,o,amet nunc viverra,kg,362.4,724.79,52.34,orci mauris lacinia sapien,1.21,139.64,883.76,640.99,ligula,rutrum at lorem,4.8,r,libero,pulvinar lobortis est,sed interdum venenatis turpis enim blandit mi,p,vestibulum velit,kg,899.55,195.62,653.47,sr,op
r,ac,quis odio consequat,sit amet turpis elementum ligula vehicula consequat,s,felis ut,kg,43.66,499.81,67.1,posuere cubilia curae,2.74,164.25,728.79,480.04,convallis,sapien placerat ante,5.33,s,odio,semper interdum mauris,viverra dapibus nulla suscipit ligula in lacus,i,montes nascetur,m,428.68,550.92,361.22,rs,si
p,parturient montes,suspendisse accumsan,curae donec pharetra magna vestibulum,i,morbi quis tortor,kg,958.85,244.21,625.0,sapien iaculis congue vivamus,3.23,210.73,48.12,340.84,felis sed,in tempus sit,9.38,o,morbi odio,vivamus in,a odio in hac habitasse platea dictumst,i,eget tempus vel,%,290.4,585.28,404.04,po,ii
p,nec nisi,duis aliquam convallis,augue quam sollicitudin vitae consectetuer eget,r,natoque penatibus,%,368.83,90.95,686.81,in lacus curabitur,1.66,593.83,812.17,768.09,rutrum,auctor sed tristique,2.78,p,sapien,potenti in eleifend,pellentesque ultrices phasellus id sapien in sapien,p,sed ante vivamus,kg,736.39,461.99,747.78,pp,rp
i,in,volutpat eleifend,nullam sit amet turpis elementum ligula,o,quam sapien varius,kg,739.35,48.22,875.76,nullam sit amet turpis,1.0,510.2,573.32,839.25,sit amet,mollis molestie lorem quisque,9.01,s,in hac,lacinia erat,parturient montes nascetur ridiculus mus etiam vel,o,justo lacinia,USD,204.76,74.8,959.21,is,oo
o,sed tristique,rutrum ac,quis orci eget orci vehicula condimentum,i,integer ac leo,m,276.33,638.71,858.03,interdum mauris ullamcorper purus,6.55,60.32,726.89,279.31,ante vestibulum,luctus et ultrices posuere,1.53,r,libero nam,volutpat erat,amet nulla quisque arcu libero rutrum ac,i,in faucibus orci,m,544.2,346.41,660.66,or,ii
r,rutrum,molestie sed,rutrum nulla tellus in sagittis,s,sit amet,m,245.5,735.75,28.47,montes nascetur ridiculus,1.73,713.88,982.15,158.53,ipsum primis,auctor sed tristique,5.32,s,volutpat eleifend,et ultrices posuere,turpis sed ante vivamus tortor duis mattis,p,nisl venenatis,USD,549.28,654.33,128.43,rs,sp
r,lacinia,vitae ipsum aliquam,morbi sem mauris laoreet ut,p,consequat metus,m,883.1,646.93,72.34,orci luctus et ultrices,1.11,114.47,337.22,905.94,nisl,donec dapibus,9.3,i,odio,non lectus aliquam,feugiat et eros vestibulum ac est lacinia,s,urna ut tellus,kg,460.63,128.36,473.87,ri,ps
r,nunc commodo,donec quis,libero rutrum ac lobortis vel dapibus at,r,erat id mauris,m,156.51,276.99,805.83,condimentum neque sapien,7.37,468.36,486.32,15.38,pharetra,amet erat,9.13,s,in blandit,lacus morbi sem,amet sapien dignissim vestibulum vestibulum ante ipsum,r,eu mi nulla,USD,635.07,917.61,785.94,rs,rr
o,tincidunt eu,convallis tortor,ut rhoncus aliquet pulvinar sed,s,consectetuer adipiscing,USD,27.93,353.16,624.96,maecenas tincidunt lacus,6.27,334.77,424.5,887.56,potenti,non lectus,1.34,p,lobortis sapien,praesent id massa,pharetra magna vestibulum aliquet ultrices erat tortor,p,ut massa,kg,100.48,357.65,783.48,op,sp
p,nibh,lobortis est phasellus,consectetuer adipiscing elit proin risus praesent lectus,p,curabitur at ipsum,kg,29.44,122.62,752.62,eget orci vehicula,6.11,20.33,203.05,328.09,nulla,in faucibus,7.34,s,ultrices,sapien arcu,donec pharetra magna vestibulum aliquet ultrices erat,p,vulputate vitae nisl,%,649.0,859.32,824.1,ps,pp
r,justo aliquam,pede ac,phasellus id sapien in sapien,o,mauris viverra diam,m,58.6,475.15,844.59,habitasse platea dictumst aliquam,3.25,675.07,95.6,645.89,placerat ante,sagittis nam,8.72,p,lacus purus,eu nibh,sapien iaculis congue vivamus metus arcu adipiscing,i,nulla nunc purus,USD,544.48,848.18,429.05,rp,oi
p,amet,vel enim,in ante vestibulum ante ipsum primis in,o,convallis tortor,%,731.01,247.68,55.62,consequat morbi a ipsum,1.39,391.52,144.84,369.68,quam,orci nullam molestie nibh,3.08,r,neque,odio donec vitae,blandit ultrices enim lorem ipsum dolor sit,s,commodo placerat,kg,592.85,418.51,972.63,pr,os
r,mauris vulputate,integer aliquet,dictumst maecenas ut massa quis,s,nulla sed vel,USD,609.65,26.65,191.48,pulvinar lobortis est,9.68,363.55,331.36,51.66,maecenas pulvinar,neque vestibulum eget vulputate,8.28,o,non,duis mattis egestas,molestie hendrerit at vulputate vitae nisl aenean,i,in consequat ut,kg,606.71,749.78,973.02,ro,si
s,justo sollicitudin,maecenas ut massa,libero convallis eget eleifend luctus ultricies eu,i,non interdum,kg,922.81,375.9,393.84,penatibus et magnis,3.12,432.47,321.07,248.88,rutrum,vivamus metus arcu,2.87,p,tristique tortor,turpis a,curae nulla dapibus dolor vel est donec,p,sapien arcu,%,68.0,936.66,594.41,sp,ip
o,ut tellus,at vulputate vitae,in lectus pellentesque at nulla suspendisse potenti,o,eu tincidunt,USD,87.78,805.9,648.77,vitae ipsum aliquam non,1.34,807.2,847.28,784.32,in,in tempor turpis nec,5.58,o,at,sem fusce consequat,in magna bibendum imperdiet nullam orci pede,p,sapien non mi,m,277.45,44.23,852.7,oo,op
r,viverra,rutrum rutrum,tellus nisi eu orci mauris,r,lobortis ligula sit,m,210.42,266.86,946.06,sit amet sem fusce,1.55,404.72,757.4,961.1,integer,posuere nonummy integer non,1.19,r,in,quisque id,rhoncus mauris enim leo rhoncus sed vestibulum,p,augue aliquam,USD,575.91,265.09,533.66,rr,rp
s,ac enim,pede justo eu,est phasellus sit amet erat nulla,o,quam turpis,USD,507.5,385.37,215.9,platea dictumst etiam,0.59,882.93,389.3,438.88,sed,vel nisl duis ac,8.54,o,elementum,integer non,donec odio justo sollicitudin ut suscipit a,s,curabitur convallis duis,USD,508.01,167.48,428.99,so,os
r,erat,eu mi nulla,tempus vivamus in felis eu,s,consequat dui nec,kg,926.05,22.68,566.58,sit amet erat nulla,0.63,366.55,777.38,570.86,mauris,augue vel,7.77,r,duis consequat,ultrices erat,aenean auctor gravida sem praesent id massa,r,sed vel enim,%,341.51,611.62,132.87,rr,sr
i,elit ac,donec pharetra,lorem quisque ut erat curabitur,r,nisl venenatis lacinia,m,213.87,439.74,897.98,vel accumsan tellus,6.91,715.72,22.5,591.5,sapien,pede venenatis non,1.26,s,est,nibh quisque,consequat morbi a ipsum integer a nibh,p,gravida nisi,m,501.02,623.58,431.73,is,rp
p,sapien,in hac,ut odio cras mi pede malesuada in,r,natoque penatibus et,USD,332.92,109.53,178.16,amet consectetuer adipiscing elit,8.45,591.76,227.68,291.25,mauris,ut mauris eget,1.16,r,platea,mauris sit amet,et eros vestibulum ac est lacinia nisi,r,sit amet diam,m,651.05,927.63,107.68,pr,rr
p,turpis,ligula nec sem,eget eros elementum pellentesque quisque porta,p,nisi vulputate nonummy,m,393.55,162.42,450.62,mattis egestas metus,7.2,529.85,840.56,512.19,erat,velit eu,6.19,r,quam suspendisse,sem fusce consequat,sapien placerat ante nulla justo aliquam quis,r,vestibulum eget vulputate,%,575.83,50.74,630.03,pr,pr
s,viverra eget,curae duis faucibus,vestibulum vestibulum ante ipsum primis,o,primis in faucibus,kg,36.08,514.79,833.07,natoque penatibus et,3.95,877.92,65.92,650.89,rhoncus mauris,id ligula,6.62,i,orci pede,tortor eu,semper sapien a libero nam dui proin,i,pede ac,kg,413.45,452.23,270.95,si,oi
i,sapien,cum sociis natoque,pellentesque ultrices phasellus id sapien in,s,justo sollicitudin ut,m,190.92,618.55,746.74,justo morbi ut odio,8.47,287.57,520.6,959.7,porttitor lacus,dui vel,4.31,s,vel lectus,orci luctus,curae nulla dapibus dolor vel est donec,s,quam a,%,237.69,556.82,706.91,is,ss
p,ligula vehicula,hac habitasse platea,at dolor quis odio consequat varius integer,s,sapien placerat,USD,859.14,646.92,880.61,primis in faucibus,4.91,585.16,883.16,761.04,vitae consectetuer,est quam pharetra,6.06,s,dis parturient,vivamus in felis,leo odio condimentum id luctus nec molestie,p,odio consequat,USD,570.25,620.6,219.62,ps,sp
o,ac,eleifend donec,vel nulla eget eros elementum,r,nulla suscipit ligula,USD,50.42,594.65,435.16,augue a suscipit nulla,8.47,417.26,25.38,873.18,leo odio,phasellus sit amet,4.22,r,a,in faucibus orci,risus semper porta volutpat quam pede lobortis,r,mi integer,kg,399.55,948.02,669.27,or,rr
p,vehicula consequat,amet lobortis,integer ac neque duis bibendum,i,integer non,USD,5.32,901.54,101.71,sodales sed tincidunt,0.31,276.25,996.91,684.75,mauris vulputate,donec dapibus,5.23,o,neque aenean,volutpat sapien,pellentesque ultrices mattis odio donec vitae nisi,r,amet turpis,%,618.34,53.66,213.76,po,ir
r,id,amet eros,vulputate luctus cum sociis natoque,o,vestibulum sed,%,148.87,482.81,106.51,accumsan tellus nisi,1.48,567.27,706.61,547.14,natoque,ornare imperdiet sapien urna,6.26,i,interdum,fusce consequat nulla,mattis odio donec vitae nisi nam ultrices,o,justo maecenas,%,810.43,493.23,495.44,ri,oo
r,mattis,sapien arcu,tortor risus dapibus augue vel,i,turpis adipiscing,m,312.49,267.38,529.13,amet nulla quisque arcu,1.65,576.62,116.0,473.29,metus,cras non,1.04,o,mattis pulvinar,in sapien iaculis,rhoncus aliquam lacus morbi quis tortor id,p,et ultrices,USD,160.35,385.65,914.66,ro,ip
s,enim,mauris ullamcorper,sollicitudin mi sit amet lobortis sapien sapien,s,duis at,USD,369.13,134.06,822.01,tellus semper interdum,2.39,567.47,741.74,756.67,dolor quis,aliquet ultrices erat tortor,3.7,s,ipsum,eu nibh quisque,ante ipsum primis in faucibus orci luctus,r,felis ut at,USD,356.08,150.37,245.75,ss,sr
o,in,dictumst morbi,quisque ut erat curabitur gravida,p,hac habitasse,%,808.2,469.55,381.23,mauris morbi non lectus,1.41,795.54,606.86,784.33,imperdiet,sed sagittis nam,7.94,s,a ipsum,erat tortor sollicitudin,morbi ut odio cras mi pede malesuada,p,rutrum nulla tellus,kg,164.09,490.86,755.56,os,pp
r,justo in,dui proin,nulla ac enim in tempor,s,neque aenean auctor,kg,349.55,865.69,862.31,elit sodales scelerisque,2.4,451.31,301.47,852.41,non ligula,at nunc,2.76,o,pellentesque,ullamcorper augue,potenti in eleifend quam a odio in,i,varius nulla,%,143.09,708.62,853.06,ro,si
p,id consequat,in tempor,faucibus orci luctus et ultrices posuere,i,nonummy maecenas,kg,878.24,603.82,987.09,sed ante vivamus tortor,1.26,212.13,621.9,955.2,dui,aliquet massa id,3.25,i,congue,id lobortis convallis,odio consequat varius integer ac leo pellentesque,o,mi pede malesuada,kg,975.26,102.27,349.34,pi,io
